Idiom,Meaning,Example,Part_of_Speech
stern,buttocks;  posterior, ,n.
sticks,"remote,  isolated area (often a village or town)", ,n.
stiff,corpse; dead  body.,Where's the stiff from last night's shootout?,n.
stiff,"not leave a tip  (in a restaurant, bar, or club).",That waiter got stiffed by a stingy couple.,v.
sting,operation to  ensnare criminals.,"In a brilliant sting operation, the police shut down a  major drug smuggling operation.",n.
sting,capture and/or  arrest somebody, ,v.
sting,cheat; deceive;  swindle, ,v.
stinger,flaw; catch;  drawback, ,n.
stink,commotion;  argument; dispute, ,n.
stink,"be disgusting,  unappealing, or undesirable", ,v.
stinker,person who is  undesirable or disgusting, ,n.
stinking rose,garlic, ,n.
stinkpot,baby with a  soiled diaper (usually from defecation), ,n.
stoked,excited;  eager, ,adj.
stone,totally;  completely; entirely, ,adv.
stoned,drunk;  intoxicated, ,adj.
stoned,under the  influence of drugs, ,adj.
stones,guts; verve;  courage, ,n.
stones,testicles;  balls, ,n.
straight,honest;  truthful, ,adj.
straight,no longer  using drugs or alcohol, ,adj.
straight,undiluted  alcoholic drink, ,adj.
straight,heterosexual, ,adj.
straight,heterosexual as  opposed to homosexual or bisexual, ,n.
straight dope,"accurate  reporting, information, or facts", ,n.
straight up,alcoholic  drink without ice; neat, ,adj.
straight up,forthwith;  upright; earnest, ,adj.
straight-shooter,person who  speaks directly and frankly, ,n.
strapped,short on  cash; broke; having no money, ,adj.
street,"real world (as  opposed to jail, prison, or other confinement)", ,n.
street,Wall Street  (note that this is often capitalized), ,n.
street smart,"knowledgable  about life in the city, particularly in dangerous parts of a city.",She's  street smart and knows how to get things done.,adj.
street smarts,capacity to  survive or thrive in a given environment, ,n.
stress,become anxious  or agitated; make somebody anxious or agitated, ,v.
stressed,anxious;  upset; agitated; annoyed.,I'm so stressed because of all this work.,adj.
stressed out,anxious;  upset; agitated; annoyed, ,adj.
stretch,"nickname for a  tall, lanky, gangly person (usually capitalized)", ,n.
stretch,time period, ,n.
stroke,flatter or  comfort somebody.,"Just go stroke his ego, then you'll get a raise.",v.
stubby,small can of  beer, ,n.
stud,male seen as  successful with or appealing to women, ,n.
studhammer,male who is  sexually successful with women, ,n.
stud-muffin,"very handsome,  sexy male", ,n.
stuff a sock in it,be quiet;  shut up; stop stalking, ,exclam.
stupid-ass,dumb; stupid;  idiotic, ,adj.
stupid-ass,"dumb, idiotic  person", ,n.
sub,"sandwich made  with Italian bread sliced lengthwise, filled with cold cuts, cheese, and  vegetables", ,n.
submarine sandwich,"sandwich made  with Italian bread sliced lengthwise, filled with cold cuts, cheese, and  vegetables", ,n.
suck,be unappealing  or undesirable, ,v.
suck face,kiss, ,v.
suck suds,drink beer, ,v.
suck up,tolerate;  endure; accept something.,"I know your job is tough, but you just have to  suck it up.",v.
sucker,person who is  easily fooled or deceived, ,n.
sucker,thing; object;  device, ,n.
sucker,trick; con;  swindle; deceive, ,v.
sucky,undesirable;  unappealing; low-quality, ,adj.
suds,beer, ,n.
sue me,retort said to reject or dismiss somebody's  statement.,You say you don't like it? So sue me.,idiom.
ugar,drat; darn  (used in place of shit to express anger or frustration), ,exclam.
sugar daddy,"older man who  financially takes care of a younger person, often in a sexual relationship", ,n.
suit,businessman or  businesswoman; a person in authority, ,n.
Sunday best,"fancy, elegant  clothing", ,n.
Sunday driver,automobile  driver who goes slowly and carefully.,I hate being stuck behind Sunday  drivers.,n.
superfly,good; nice;  excellent, ,adj.
superjock,great athelete  or sports competitor, ,n.
supratentorial,in the brain  or head; used to say a condition is psychiatric instead of neurological.,This patient's problem is supratentorial. We can't do anything for him here in  the ER.,adj.
surf n' turf,common way of  referring to a platter with meat and seafood, ,n.
suss,figure out;  realize; understand clearly.,I've got you sussed now.,v.
Suzy Homemaker,stereotype of  the American housewife, ,n.
swap spits,kiss, ,v.
sweat,problem;  trouble.,"No sweat, I'll get it done.",n.
sweat,anxiously await  results, ,v.
sweat blood,feel very tense  or anxious, ,v.
sweat bullets,feel very tense  or anxious, ,v.
sweep under the rug,hide; conceal; remove evidence.,Just sweep that  problem under the rug. We'll worry about it if we have to.,idiom.
swift,clever;  intelligent; smart.,"You're not too swift, are you?",adj.
swing,be current;  modern; with it, ,v.
swing,"be  entertaining, exciting, or enjoyable", ,v.
swing,"participate in  group sex, exchanges of sex partners, or other fashionable activities", ,v.
swipe,blow or strike  by somebody or something, ,n.
swipe,steal something  (usually small), ,v.
swipe,take something, ,v.
T&A,tits and ass  (in reference to women), ,abbr.
T.G.I.F.,Thank God  it's Friday, ,abbr.
T.S.,tough shit  (i.e.: too bad; tough luck; rotten luck), ,abbr.
TAFN,that's all  for now, ,abbr.
tag,license plate  or identification/registration stickers on a vehicle, ,n.
TAH,take a hint, ,abbr.
tailer trash,poor people who  live in trailer parks, ,n.
take a dump,defacate; move  one's bowls, ,v.
take a dump,move one's  bowels; defacate, ,v.
take a hike,leave; depart;  get out, ,v.
take a piss,urinate; pee, ,v.
take a shit,defacate; move  one's bowls.,"God, do I have to take a shit? Where's the can?",v.
take a shit,move one's  bowels; defacate, ,v.
take a walk,leave; depart;  get out, ,v.
take five,take a break  for five minutes, ,v.
take names,create a list  of people who have behaved badly or illegally, ,v.
take out,destroy or  obliterate somebody or something, ,v.
take out,go out with  somebody; go on a date with somebody, ,v.
taken,deceived;  cheated; swindled, ,adj.
talking head,announcer or  anchor on television (so called because often only the face and neck are  visible), ,n.
tall in the saddle,proud;  pleased; self-satisfied, ,adj.
tank,drink  excessively, ,v.
tank,fail; perform  poorly, ,v.
tank up,drink  excessively, ,v.
tanked,drunk;  intoxicated, ,adj.
tanked up,drunk;  intoxicated, ,adj.
tap out,lose all one's  money (often through gambling), ,v.
tapped,broke; having  no money, ,adj.
tapped,tired;  fatigued; exhausted, ,adj.
tapped out,broke; having  no money, ,adj.
tapped out,tired;  fatigued; exhausted, ,adj.
tater,potato, ,n.
tawny,good; nice;  excellent, ,adj.
tchotchke,small item;  trinket, ,n.
tee off,upset or angery  somebody, ,v.
TEETH,"tried  everything else, try homeopathy", ,abbr.
telly,television; T, ,n.
tenderfoot,person lacking  experience or know-how (old expression no longer used much), ,n.
terp,interpreter for  American forces in Iraq; interpreter in the military, ,n.
thing,activity;  undertaking (used after a noun to emphasize the particular nature of the noun  or create a general idea about that noun).,It's a girl thing; you wouldn't  understand.,n.
third base,"act of oral sex  or finger sex (used as a way to mark ""progress"" in sex, especially  among youth)", ,n.
third wheel,additional or  extra person who is not wanted, ,n.
thou,one-thousand, ,n.
thou,"thousand (n.b.:  the ""th"" is pronounced hard, as in ""threw"")", ,n.
threads,clothes;  clothing.,Nice threads! Going on a date?,n.
throw one's cookies,throw up; vomit, ,v.
thunder-thighs,fat or large  thighs (usually on a woman), ,n.
TIA,thanks in  advance, ,abbr.
tick,minute; second, ,n.
ticked,upset; angry, ,adj.
ticked off,upset; angry, ,adj.
ticker,heart, ,n.
ticker,watch; time  piece, ,n.
ticket,license;  driver's license.,"""Ticket to Ride"" (song title).",n.
ticket,something  needed for a particular purpose, ,n.
tickle the ivories,play the piano, ,v.
tiddly,tipsy;  slightly drunk, ,adj.
tight,close; very  friendly; on good terms.,Those two are very tight.,adj.
TIIC,the idiots  in charge, ,abbr.
time,stop; stop  talking; cease, ,exclam.
time out,stop; stop  talking; cease, ,exclam.
tinnie,can of beer, ,n.
tipple,"alcoholic drink  such as beer, wine, or liquor.",My favorite tipple? A bit of cognac.,n.
tipple,drink alcohol  regularly, ,v.
tits,breasts  (usually said of women), ,n.
TLA,three-letter  acronym, ,abbr.
to die for,excellent;  outstanding.,This cake is to die for.,adj.
toast,in trouble;  at risk of punishment, ,adj.
todger,penis; dick, ,n.
toe jam,smelly gunk  between toes on unwashed feet, ,n.
tokus,buttocks;  posterior, ,n.
too … by half,too much;  excessively; extremely.,You are too crazy by half.,adj.
took,deceived;  cheated; swindled, ,adj.
tool,person who is  easily exploited, ,n.
tool,"serious,  dedicated student", ,n.
tool,drive at high  speed in a car, ,v.
tool around,cruise or drive  around in a car, ,v.
tooth-to-tattoo ratio,visual  inspection to determine mental status; a higher ratio (more teeth than tattoos)  is better, ,n.
top dog,leader; head of  a group; powerful person in an organization, ,n.
torpedo,"sandwich made  with Italian bread sliced lengthwise, filled with cold cuts, cheese, and  vegetables", ,n.
toss off,do something  rapidly and with little attention to detail, ,v.
toss one's cookies,throw up; vomit, ,v.
toss one's lunch,throw up; vomit, ,v.
toss one's tacos,throw up; vomit, ,v.
totalled,wrecked;  demolished; destroyed, ,adj.
totally,absolutely;  completely; entirely, ,adv.
totally spent,feeling  adverse effects of methylenedioxymethamphetamine (MDMA), ,adj.
tough out,endure;  persist; persevere.,"I know it's hard, but you've got to tough it out.",v.
tough stick,patient whose  veins make a blood draw difficult.,Druggies always make for tough sticks  because their veins are shot.,n.
train wreck,patient with  multiple medical problems, ,n.
trammeled,drunk;  intoxicated, ,adj.
tranny,transmission in  a car, ,n.
trash,person of  little value, ,n.
trash,damage;  vandalize, ,v.
trash,discard; throw  away; get rid of, ,v.
trashed,drunk;  intoxicated.,He was totally trashed after only four beers.,adj.
treadhead,tank driver or  crewman; soldier whose specialty is armor, ,n.
tree-hugging,pretentiously clean / pure, ,v.
tribe,friends;  relatives; family, ,n.
trike,motorcyle with  three wheels.,Nice trike. How fast does it go?,n.
trip,"weird, annoying  person or experience", ,n.
trippin',high on drugs, ,adj.
tri's,triceps  (muscles on the back of the arm), ,n.
troll,"ugly man or  woman, often with a mean disposition", ,n.
trounce,defeat somebody  (often in a game or other contest), ,v.
trust me,believe  me; really; honestly; for real, ,exclam.
TTFN,ta-ta for  now, ,abbr.
TTYL,talk to you  later, ,abbr.
tub of lard,"fat person,  typically very fat", ,n.
tube,ocean wave when  breaking, ,n.
tube,television set  (not a flat panel screen though), ,n.
tube steak,hotdog, ,n.
tubular,good; nice;  excellent, ,adj.
tuchus,buttocks;  posterior, ,n.
tude,poor attitude;  troublesome disposition, ,n.
tukkis,buttocks;  posterior, ,n.
tunes,music; records;  CDs, ,n.
turd,poop; feces, ,n.
turd,horrible person, ,n.
turf,transfer a  patient to another service (usually to get the patient out of your service).,"She got turfed up here from the ER, and now we're stuck with her.",v.
turkey,failure; loss, ,n.
turkey,dumb person, ,n.
turn belly-up,die, ,v.
turn belly-up,fail; perform  poorly, ,v.
turn turtle,turn over; flip  over; capsize, ,v.
turned on,sexually  excited or aroused, ,adj.
turnoff,"something  unappealing, unenjoyable, or disgusting", ,n.
turps,turpentine, ,n.
turtle,Kevlar helmet, ,n.
tweak,make small  adjustments, ,v.
tweaking,drug-induced  paranoia, ,n.
tweeked,drunk;  intoxicated, ,adj.
"twenty-four, seven","all the time;  24 hours a day, 7 days a week", ,adj.
twenty-four/seven  (24/7),"all the time;  24 hours a day, 7 days a week", ,adj.
twerp,"small, annoying  person", ,n.
Twinkie,"Asian person  who adopts the lifestyle, attitudes, and such of White people", ,n.
twirp,"small, annoying  person", ,n.
twit,"dumb, annoying  person", ,n.
twofer,two items for  the price of one, ,n.
two-time,cheat on a  spouse or lover, ,v.
two-time loser,confirmed  failure, ,n.
two-timer,somebody who  cheats on a spouse or lover, ,n.
U.V.s,s, ,v.
UBI,unexplained  beer injury, ,abbr.
umpteen,large quantity;  many, ,n.
umpteenth,millions;  billions; an uncountably large number, ,adj.
un-ass,get out of a  sitting position; get off (a vehicle), ,v.
uncut,not  circumcised, ,adj.
uncut,unmodified;  unedited, ,adj.
under one's thumb,under the  control of; manipulated by.,"""Under My Thumb"" (song title).",adj.
undies,underwear, ,n.
unit,gadget; device;  mechanism, ,n.
unit,penis, ,n.
up,pleased;  happy; excited, ,adj.
up,increase;  augment; raise, ,v.
up for grabs,in the mood  for; willing to, ,adj.
up for grabs,unclaimed;  available, ,adj.
up for grabs,unknown (in  terms of outcome or results); chaotic; disorganized, ,adj.
up front,honest;  truthful; forthright, ,adj.
up front,in advance;  at the start; at the outset, ,adj.
up shit's creek,"be in a  desperate, no-win situation", ,v.
up shit's creek  without a paddle,"be in a  desperate, no-win situation", ,v.
up yours,go away;  drop dead (used to reject something or as a retort), ,exclam.
upchuck,vomit; vomitus, ,n.
upchuck,throw up; vomit, ,v.
uptight,nervous;  anxious; edgy, ,adj.
V.S.A.,S.A., ,v.
vanilla,ordinary;  dull; plain, ,adj.
VB,Victorian  Bitter (brand of beer in Australia), ,n.
